onset	duration	trial_type	stimulus	accuracy	response_time
8.5	1	CS	BlueLeft	1	0.448
14	1	CNS	BlueLeft	1	0.52
18.5	1	CNS	BlueRight	1	0.459
23	1	ICS	RedRight	1	0.461
27.5	1	ICNS	RedLeft	1	0.384
33	1	CS	BlueRight	1	0.504
38.5	1	ICS	RedLeft	1	0.576
41	1	ICNS	RedRight	1	0.576
43.5	1	ICNS	RedLeft	1	0.513
48	1	CS	BlueRight	1	0.396
52.5	1	CNS	BlueRight	1	0.463
56	1	ICS	RedRight	1	0.5
58.5	1	ICNS	RedLeft	1	0.613
61	1	ICNS	RedLeft	1	0.525
66.5	1	CS	BlueRight	1	0.381
70	1	ICS	RedLeft	1	0.507
73.5	1	CS	BlueLeft	1	0.584
77	1	CNS	BlueRight	1	0.477
80.5	1	ICS	RedLeft	1	0.419
84	1	ICNS	RedLeft	1	0.432
89.5	1	CS	BlueRight	1	0.536
95	1	ICS	RedRight	1	0.52
98.5	1	ICNS	RedRight	1	0.501
104	1	CS	BlueRight	1	0.405
106.5	1	CNS	BlueLeft	1	0.542
110	1	ICS	RedLeft	1	0.467
112.5	1	ICNS	RedLeft	1	0.468
116	1	CS	BlueLeft	1	0.562
118.5	1	CNS	BlueLeft	1	0.427
123	1	CNS	BlueLeft	1	0.405
128.5	1	ICS	RedRight	1	0.517
134	1	CS	BlueLeft	1	0.461
136.5	1	CNS	BlueRight	1	0.525
141	1	ICS	RedLeft	1	0.512
146.5	1	ICNS	RedRight	1	0.512
151	1	ICNS	RedLeft	1	0.434
155.5	1	CS	BlueLeft	1	0.492
158	1	CNS	BlueLeft	1	0.437
160.5	1	CNS	BlueRight	1	0.446
165	1	ICS	RedRight	1	0.432
168.5	1	ICNS	RedRight	1	0.518
172	1	CS	BlueRight	1	0.564
174.5	1	ICS	RedRight	1	0.452
179	1	CS	BlueLeft	1	0.519
183.5	1	CNS	BlueLeft	1	0.505
188	1	CNS	BlueRight	1	0.428
190.5	1	ICS	RedRight	1	0.485
195	1	ICNS	RedLeft	1	0.512
200.5	1	CS	BlueRight	1	0.471
203	1	CNS	BlueRight	1	0.368
206.5	1	ICS	RedRight	1	0.422
210	1	CS	BlueLeft	1	0.555
214.5	1	CNS	BlueLeft	1	0.389
218	1	CNS	BlueLeft	1	0.386
223.5	1	ICS	RedLeft	1	0.419
227	1	ICNS	RedRight	1	0.44
232.5	1	CS	BlueLeft	1	0.448
237	1	CNS	BlueLeft	1	0.354
240.5	1	ICS	RedLeft	1	0.4
244	1	ICNS	RedRight	1	0.446
249.5	1	CS	BlueRight	1	0.397
253	1	CNS	BlueLeft	1	0.483
257.5	1	ICS	RedLeft	1	0.438
263	1	ICNS	RedRight	1	0.39
265.5	1	CS	BlueRight	1	0.526
270	1	ICS	RedLeft	1	0.481
273.5	1	ICNS	RedRight	1	0.383
279	1	ICNS	RedLeft	1	0.35
283.5	1	CS	BlueRight	1	0.464
289	1	CNS	BlueRight	1	0.392
294.5	1	ICS	RedRight	1	0.448
297	1	ICNS	RedRight	1	0.392
299.5	1	CS	BlueLeft	1	0.497
302	1	CNS	BlueRight	1	0.45
304.5	1	CNS	BlueRight	1	0.386
310	1	ICS	RedRight	1	0.418
313.5	1	ICNS	RedLeft	1	0.416
316	1	ICNS	RedRight	1	0.464
320.5	1	CS	BlueLeft	1	0.523
326	1	ICS	RedLeft	1	0.499
