onset	duration	trial_type	stimulus	accuracy	response_time
8.5	1	CS	BlueRight	1	0.615
14	1	CNS	BlueLeft	1	0.599
18.5	1	ICS	RedLeft	1	0.809
23	1	CS	BlueLeft	0	1.05
27.5	1	CNS	BlueRight	1	0.623
33	1	ICS	RedLeft	1	0.799
38.5	1	ICNS	RedLeft	1	0.575
41	1	CS	BlueRight	1	0.751
43.5	1	CNS	BlueLeft	1	0.624
48	1	ICS	RedRight	1	0.619
52.5	1	ICNS	RedRight	1	0.74
56	1	CS	BlueRight	1	0.682
58.5	1	ICS	RedLeft	1	0.819
61	1	ICNS	RedLeft	1	0.579
66.5	1	ICNS	RedRight	1	0.643
70	1	CS	BlueRight	0	0.489
73.5	1	ICS	RedRight	1	0.846
77	1	ICNS	RedLeft	1	0.74
80.5	1	CS	BlueRight	1	0.634
84	1	CNS	BlueLeft	1	0.968
89.5	1	CNS	BlueRight	1	0.623
95	1	ICS	RedRight	1	0.839
98.5	1	ICNS	RedLeft	1	0.669
104	1	CS	BlueLeft	1	0.619
106.5	1	ICS	RedLeft	1	0.644
110	1	ICNS	RedLeft	1	0.61
112.5	1	ICNS	RedRight	1	0.555
116	1	CS	BlueRight	1	0.728
118.5	1	CNS	BlueRight	1	0.705
123	1	CNS	BlueLeft	1	0.614
128.5	1	ICS	RedRight	1	1.096
134	1	ICNS	RedLeft	1	0.603
136.5	1	CS	BlueRight	1	0.948
141	1	CNS	BlueRight	1	0.567
146.5	1	ICS	RedLeft	1	0.822
151	1	ICNS	RedRight	1	0.665
155.5	1	CS	BlueLeft	1	1.304
158	1	CNS	BlueLeft	1	0.555
160.5	1	CNS	BlueLeft	1	0.516
165	1	ICS	RedLeft	1	0.527
168.5	1	ICNS	RedLeft	1	0.58
172	1	CS	BlueLeft	1	0.658
174.5	1	CNS	BlueLeft	1	0.796
179	1	CNS	BlueRight	1	0.782
183.5	1	ICS	RedLeft	1	1.077
188	1	ICNS	RedLeft	1	0.571
190.5	1	CS	BlueLeft	1	0.876
195	1	CNS	BlueRight	1	1.115
200.5	1	ICS	RedRight	1	0.63
203	1	CS	BlueLeft	1	0.766
206.5	1	CNS	BlueRight	1	0.763
210	1	ICS	RedRight	1	0.569
214.5	1	ICNS	RedRight	1	0.572
218	1	CS	BlueRight	1	0.609
223.5	1	ICS	RedLeft	1	0.65
227	1	ICNS	RedRight	1	0.559
232.5	1	CS	BlueLeft	1	0.655
237	1	CNS	BlueLeft	1	0.697
240.5	1	CNS	BlueLeft	1	0.559
244	1	ICS	RedLeft	1	0.725
249.5	1	ICNS	RedRight	1	0.619
253	1	CS	BlueLeft	1	0.697
257.5	1	CNS	BlueRight	1	0.508
263	1	ICS	RedRight	1	0.596
265.5	1	ICNS	RedLeft	1	0.668
270	1	ICNS	RedRight	1	0.649
273.5	1	CS	BlueRight	1	0.629
279	1	CNS	BlueRight	1	0.773
283.5	1	ICS	RedRight	1	0.76
289	1	ICNS	RedLeft	1	0.631
294.5	1	CS	BlueLeft	1	0.575
297	1	ICS	RedRight	1	0.959
299.5	1	ICNS	RedRight	1	0.512
302	1	CS	BlueRight	1	0.888
304.5	1	CNS	BlueLeft	1	0.545
310	1	CNS	BlueRight	1	0.592
313.5	1	ICS	RedLeft	1	0.566
316	1	ICNS	RedRight	1	0.542
320.5	1	CS	BlueLeft	1	0.673
326	1	ICS	RedRight	1	0.769
