onset	duration	trial_type	stimulus	accuracy	response_time
8.5	1	CS	BlueRight	1	0.651
14	1	CNS	BlueLeft	1	0.507
18.5	1	ICS	RedLeft	1	0.598
23	1	CS	BlueLeft	1	0.728
27.5	1	CNS	BlueRight	1	0.827
33	1	ICS	RedLeft	1	0.554
38.5	1	ICNS	RedLeft	1	0.513
41	1	CS	BlueRight	1	1.367
43.5	1	CNS	BlueLeft	1	0.451
48	1	ICS	RedRight	1	0.597
52.5	1	ICNS	RedRight	1	0.528
56	1	CS	BlueRight	1	1.235
58.5	1	ICS	RedLeft	1	0.679
61	1	ICNS	RedLeft	1	0.919
66.5	1	ICNS	RedRight	0	0
70	1	CS	BlueRight	1	0.684
73.5	1	ICS	RedRight	1	0.498
77	1	ICNS	RedLeft	1	0.544
80.5	1	CS	BlueRight	1	0.446
84	1	CNS	BlueLeft	0	2.339
89.5	1	CNS	BlueRight	1	0.402
95	1	ICS	RedRight	0	0
98.5	1	ICNS	RedLeft	1	0.52
104	1	CS	BlueLeft	1	0.72
106.5	1	ICS	RedLeft	0	0
110	1	ICNS	RedLeft	1	1.211
112.5	1	ICNS	RedRight	1	0.583
116	1	CS	BlueRight	1	0.636
118.5	1	CNS	BlueRight	1	0.629
123	1	CNS	BlueLeft	0	0
128.5	1	ICS	RedRight	1	0.543
134	1	ICNS	RedLeft	0	0
136.5	1	CS	BlueRight	1	0.751
141	1	CNS	BlueRight	1	0.378
146.5	1	ICS	RedLeft	0	0
151	1	ICNS	RedRight	1	3.697
155.5	1	CS	BlueLeft	1	0.807
158	1	CNS	BlueLeft	1	0.36
160.5	1	CNS	BlueLeft	1	0.344
165	1	ICS	RedLeft	1	0.531
168.5	1	ICNS	RedLeft	0	0.4
172	1	CS	BlueLeft	1	0.542
174.5	1	CNS	BlueLeft	1	0.375
179	1	CNS	BlueRight	1	0.434
183.5	1	ICS	RedLeft	1	0.516
188	1	ICNS	RedLeft	1	0.678
190.5	1	CS	BlueLeft	1	0.615
195	1	CNS	BlueRight	1	0.409
200.5	1	ICS	RedRight	1	0.513
203	1	CS	BlueLeft	0	0
206.5	1	CNS	BlueRight	1	0.455
210	1	ICS	RedRight	1	0.565
214.5	1	ICNS	RedRight	1	0.584
218	1	CS	BlueRight	1	0.454
223.5	1	ICS	RedLeft	0	0
227	1	ICNS	RedRight	1	0.546
232.5	1	CS	BlueLeft	1	0.53
237	1	CNS	BlueLeft	1	0.461
240.5	1	CNS	BlueLeft	1	0.467
244	1	ICS	RedLeft	1	0.576
249.5	1	ICNS	RedRight	1	0.68
253	1	CS	BlueLeft	1	0.686
257.5	1	CNS	BlueRight	1	0.712
263	1	ICS	RedRight	0	0
265.5	1	ICNS	RedLeft	0	0.169
270	1	ICNS	RedRight	1	0.483
273.5	1	CS	BlueRight	1	0.657
279	1	CNS	BlueRight	1	0.912
283.5	1	ICS	RedRight	1	0.611
289	1	ICNS	RedLeft	1	0.586
294.5	1	CS	BlueLeft	1	0.739
297	1	ICS	RedRight	0	0
299.5	1	ICNS	RedRight	1	0.534
302	1	CS	BlueRight	1	0.948
304.5	1	CNS	BlueLeft	1	0.597
310	1	CNS	BlueRight	1	0.477
313.5	1	ICS	RedLeft	1	0.595
316	1	ICNS	RedRight	0	0
320.5	1	CS	BlueLeft	1	0.493
326	1	ICS	RedRight	1	0.574
