onset	duration	trial_type	stimulus	accuracy	response_time
8.5	1	CS	BlueLeft	1	0.717
14	1	CNS	BlueLeft	1	0.549
18.5	1	CNS	BlueRight	1	0.648
23	1	ICS	RedRight	1	0.675
27.5	1	ICNS	RedLeft	0	0.661
33	1	CS	BlueRight	1	0.845
38.5	1	ICS	RedLeft	1	0.676
41	1	ICNS	RedRight	1	0.804
43.5	1	ICNS	RedLeft	1	0.765
48	1	CS	BlueRight	1	0.656
52.5	1	CNS	BlueRight	1	0.634
56	1	ICS	RedRight	1	1.053
58.5	1	ICNS	RedLeft	1	0.577
61	1	ICNS	RedLeft	1	0.626
66.5	1	CS	BlueRight	1	0.745
70	1	ICS	RedLeft	1	0.911
73.5	1	CS	BlueLeft	1	0.757
77	1	CNS	BlueRight	1	0.563
80.5	1	ICS	RedLeft	1	0.88
84	1	ICNS	RedLeft	1	0.718
89.5	1	CS	BlueRight	1	0.573
95	1	ICS	RedRight	1	0.852
98.5	1	ICNS	RedRight	1	0.674
104	1	CS	BlueRight	1	0.89
106.5	1	CNS	BlueLeft	1	0.626
110	1	ICS	RedLeft	1	0.824
112.5	1	ICNS	RedLeft	1	0.641
116	1	CS	BlueLeft	1	0.902
118.5	1	CNS	BlueLeft	1	0.479
123	1	CNS	BlueLeft	1	0.634
128.5	1	ICS	RedRight	1	0.721
134	1	CS	BlueLeft	1	0.682
136.5	1	CNS	BlueRight	1	1.007
141	1	ICS	RedLeft	1	0.908
146.5	1	ICNS	RedRight	1	0.852
151	1	ICNS	RedLeft	1	0.67
155.5	1	CS	BlueLeft	1	0.945
158	1	CNS	BlueLeft	1	0.522
160.5	1	CNS	BlueRight	1	0.794
165	1	ICS	RedRight	1	0.701
168.5	1	ICNS	RedRight	1	0.819
172	1	CS	BlueRight	1	0.825
174.5	1	ICS	RedRight	1	1.102
179	1	CS	BlueLeft	1	0.596
183.5	1	CNS	BlueLeft	1	0.799
188	1	CNS	BlueRight	1	0.769
190.5	1	ICS	RedRight	1	0.937
195	1	ICNS	RedLeft	1	0.723
200.5	1	CS	BlueRight	1	0.676
203	1	CNS	BlueRight	1	0.708
206.5	1	ICS	RedRight	1	0.714
210	1	CS	BlueLeft	1	0.808
214.5	1	CNS	BlueLeft	1	0.602
218	1	CNS	BlueLeft	1	0.576
223.5	1	ICS	RedLeft	1	0.703
227	1	ICNS	RedRight	1	0.701
232.5	1	CS	BlueLeft	1	1.026
237	1	CNS	BlueLeft	1	0.591
240.5	1	ICS	RedLeft	1	0.797
244	1	ICNS	RedRight	1	0.778
249.5	1	CS	BlueRight	1	0.914
253	1	CNS	BlueLeft	1	0.728
257.5	1	ICS	RedLeft	1	0.787
263	1	ICNS	RedRight	1	0.546
265.5	1	CS	BlueRight	1	0.955
270	1	ICS	RedLeft	1	0.814
273.5	1	ICNS	RedRight	1	1.024
279	1	ICNS	RedLeft	1	0.819
283.5	1	CS	BlueRight	0	0.653
289	1	CNS	BlueRight	1	0.821
294.5	1	ICS	RedRight	1	0.821
297	1	ICNS	RedRight	1	1.25
299.5	1	CS	BlueLeft	1	0.59
302	1	CNS	BlueRight	1	0.575
304.5	1	CNS	BlueRight	1	0.487
310	1	ICS	RedRight	1	0.687
313.5	1	ICNS	RedLeft	1	0.685
316	1	ICNS	RedRight	1	0.557
320.5	1	CS	BlueLeft	1	0.512
326	1	ICS	RedLeft	1	0.832
