onset	duration	trial_type	stimulus	accuracy	response_time
8.5	1	ICS	BlueLeft	1	0.885
14	1	ICNS	BlueLeft	1	0.997
18.5	1	ICNS	BlueRight	1	0.703
23	1	CS	RedRight	1	0.835
27.5	1	CNS	RedLeft	1	0.661
33	1	ICS	BlueRight	1	0.653
38.5	1	CS	RedLeft	1	0.557
41	1	CNS	RedRight	1	0.735
43.5	1	CNS	RedLeft	1	0.599
48	1	ICS	BlueRight	0	0.602
52.5	1	ICNS	BlueRight	1	0.58
56	1	CS	RedRight	1	0.705
58.5	1	CNS	RedLeft	1	0.73
61	1	CNS	RedLeft	1	0.659
66.5	1	ICS	BlueRight	1	0.691
70	1	CS	RedLeft	1	0.513
73.5	1	ICS	BlueLeft	1	0.671
77	1	ICNS	BlueRight	1	0.82
80.5	1	CS	RedLeft	1	0.596
84	1	CNS	RedLeft	1	0.704
89.5	1	ICS	BlueRight	1	0.671
95	1	CS	RedRight	1	0.664
98.5	1	CNS	RedRight	1	0.549
104	1	ICS	BlueRight	1	0.498
106.5	1	ICNS	BlueLeft	1	0.753
110	1	CS	RedLeft	1	0.595
112.5	1	CNS	RedLeft	1	0.596
116	1	ICS	BlueLeft	1	0.769
118.5	1	ICNS	BlueLeft	1	0.61
123	1	ICNS	BlueLeft	1	0.669
128.5	1	CS	RedRight	1	0.837
134	1	ICS	BlueLeft	1	0.655
136.5	1	ICNS	BlueRight	1	0.822
141	1	CS	RedLeft	1	0.76
146.5	1	CNS	RedRight	1	1.181
151	1	CNS	RedLeft	1	0.491
155.5	1	ICS	BlueLeft	1	0.717
158	1	ICNS	BlueLeft	1	0.654
160.5	1	ICNS	BlueRight	0	0.775
165	1	CS	RedRight	1	0.729
168.5	1	CNS	RedRight	1	0.768
172	1	ICS	BlueRight	1	0.628
174.5	1	CS	RedRight	1	0.925
179	1	ICS	BlueLeft	0	0.952
183.5	1	ICNS	BlueLeft	1	0.587
188	1	ICNS	BlueRight	1	0.51
190.5	1	CS	RedRight	1	0.744
195	1	CNS	RedLeft	1	0.601
200.5	1	ICS	BlueRight	1	0.801
203	1	ICNS	BlueRight	1	0.674
206.5	1	CS	RedRight	1	0.617
210	1	ICS	BlueLeft	1	0.614
214.5	1	ICNS	BlueLeft	1	0.61
218	1	ICNS	BlueLeft	1	0.646
223.5	1	CS	RedLeft	1	0.789
227	1	CNS	RedRight	1	0.675
232.5	1	ICS	BlueLeft	1	0.795
237	1	ICNS	BlueLeft	1	0.614
240.5	1	CS	RedLeft	1	0.707
244	1	CNS	RedRight	1	0.705
249.5	1	ICS	BlueRight	1	0.795
253	1	ICNS	BlueLeft	1	0.704
257.5	1	CS	RedLeft	1	0.513
263	1	CNS	RedRight	1	0.868
265.5	1	ICS	BlueRight	1	0.658
270	1	CS	RedLeft	1	0.677
273.5	1	CNS	RedRight	1	0.819
279	1	CNS	RedLeft	1	0.571
283.5	1	ICS	BlueRight	1	0.646
289	1	ICNS	BlueRight	1	0.981
294.5	1	CS	RedRight	1	0.7
297	1	CNS	RedRight	1	0.693
299.5	1	ICS	BlueLeft	1	0.662
302	1	ICNS	BlueRight	1	0.711
304.5	1	ICNS	BlueRight	1	0.631
310	1	CS	RedRight	1	0.679
313.5	1	CNS	RedLeft	1	0.613
316	1	CNS	RedRight	1	0.646
320.5	1	ICS	BlueLeft	1	0.633
326	1	CS	RedLeft	1	0.528
