onset	duration	trial_type	stimulus	accuracy	response_time
8.5	1	ICS	BlueRight	1	0.515
12	1	ICNS	BlueLeft	1	0.473
14.5	1	CS	RedLeft	1	0.489
17	1	ICS	BlueLeft	1	0.498
20.5	1	ICNS	BlueRight	1	0.472
24	1	CS	RedLeft	1	0.477
27.5	1	CNS	RedLeft	1	0.403
31	1	ICS	BlueRight	1	0.464
36.5	1	ICNS	BlueLeft	1	0.441
41	1	CS	RedRight	1	0.451
44.5	1	CNS	RedRight	1	0.409
50	1	ICS	BlueRight	1	0.448
52.5	1	CS	RedLeft	1	0.489
56	1	CNS	RedLeft	1	0.374
58.5	1	CNS	RedRight	1	0.455
62	1	ICS	BlueRight	1	0.452
67.5	1	CS	RedRight	1	0.508
71	1	CNS	RedLeft	1	0.361
75.5	1	ICS	BlueRight	1	0.436
78	1	ICNS	BlueLeft	1	0.5
80.5	1	ICNS	BlueRight	1	0.461
83	1	CS	RedRight	1	0.494
86.5	1	CNS	RedLeft	1	0.468
91	1	ICS	BlueLeft	1	0.446
96.5	1	CS	RedLeft	1	0.446
99	1	CNS	RedLeft	1	0.423
104.5	1	CNS	RedRight	1	0.414
110	1	ICS	BlueRight	1	0.422
114.5	1	ICNS	BlueRight	1	0.513
117	1	ICNS	BlueLeft	1	0.465
119.5	1	CS	RedRight	1	0.498
125	1	CNS	RedLeft	1	0.442
130.5	1	ICS	BlueRight	1	0.49
134	1	ICNS	BlueRight	1	0.463
137.5	1	CS	RedLeft	1	0.493
140	1	CNS	RedRight	1	0.453
145.5	1	ICS	BlueLeft	1	0.461
150	1	ICNS	BlueLeft	1	0.423
152.5	1	ICNS	BlueLeft	1	0.479
157	1	CS	RedLeft	1	0.458
159.5	1	CNS	RedLeft	1	0.371
164	1	ICS	BlueLeft	1	0.453
168.5	1	ICNS	BlueLeft	1	0.488
173	1	ICNS	BlueRight	1	0.491
176.5	1	CS	RedLeft	1	0.504
180	1	CNS	RedLeft	1	0.454
182.5	1	ICS	BlueLeft	1	0.455
187	1	ICNS	BlueRight	1	0.489
189.5	1	CS	RedRight	1	0.498
195	1	ICS	BlueLeft	1	0.426
197.5	1	ICNS	BlueRight	1	0.419
200	1	CS	RedRight	1	0.451
204.5	1	CNS	RedRight	0	0.406
210	1	ICS	BlueRight	1	0.454
213.5	1	CS	RedLeft	1	0.459
219	1	CNS	RedRight	1	0.475
223.5	1	ICS	BlueLeft	1	0.462
229	1	ICNS	BlueLeft	1	0.461
233.5	1	ICNS	BlueLeft	1	0.447
238	1	CS	RedLeft	1	0.482
242.5	1	CNS	RedRight	1	0.557
245	1	ICS	BlueLeft	1	0.469
250.5	1	ICNS	BlueRight	1	0.485
256	1	CS	RedRight	1	0.468
258.5	1	CNS	RedLeft	1	0.485
262	1	CNS	RedRight	1	0.467
267.5	1	ICS	BlueRight	1	0.467
272	1	ICNS	BlueRight	0	0.437
275.5	1	CS	RedRight	1	0.475
280	1	CNS	RedLeft	1	0.638
284.5	1	ICS	BlueLeft	1	0.52
287	1	CS	RedRight	1	0.513
292.5	1	CNS	RedRight	1	0.417
298	1	ICS	BlueRight	1	0.432
303.5	1	ICNS	BlueLeft	1	0.48
307	1	ICNS	BlueRight	1	0.414
311.5	1	CS	RedLeft	1	0.505
317	1	CNS	RedRight	1	0.464
320.5	1	ICS	BlueLeft	1	0.446
324	1	CS	RedRight	1	0.451
