onset	duration	trial_type	stimulus	accuracy	response_time
8.5	1	ICS	BlueRight	1	0.515
12	1	ICNS	BlueLeft	1	0.409
14.5	1	CS	RedLeft	1	0.497
17	1	ICS	BlueLeft	1	0.603
20.5	1	ICNS	BlueRight	1	0.664
24	1	CS	RedLeft	1	0.549
27.5	1	CNS	RedLeft	0	0
31	1	ICS	BlueRight	1	0.642
36.5	1	ICNS	BlueLeft	1	0.584
41	1	CS	RedRight	1	0.611
44.5	1	CNS	RedRight	1	0.472
50	1	ICS	BlueRight	1	0.576
52.5	1	CS	RedLeft	1	0.656
56	1	CNS	RedLeft	1	0.502
58.5	1	CNS	RedRight	1	0.456
62	1	ICS	BlueRight	1	0.588
67.5	1	CS	RedRight	1	0.577
71	1	CNS	RedLeft	1	0.506
75.5	1	ICS	BlueRight	1	0.557
78	1	ICNS	BlueLeft	1	0.453
80.5	1	ICNS	BlueRight	1	0.494
83	1	CS	RedRight	1	0.455
86.5	1	CNS	RedLeft	1	0.436
91	1	ICS	BlueLeft	1	0.542
96.5	1	CS	RedLeft	1	0.529
99	1	CNS	RedLeft	1	0.423
104.5	1	CNS	RedRight	0	0.534
110	1	ICS	BlueRight	1	0.598
114.5	1	ICNS	BlueRight	1	0.481
117	1	ICNS	BlueLeft	1	0.522
119.5	1	CS	RedRight	1	0.61
125	1	CNS	RedLeft	1	0.506
130.5	1	ICS	BlueRight	1	0.53
134	1	ICNS	BlueRight	1	0.608
137.5	1	CS	RedLeft	1	0.572
140	1	CNS	RedRight	1	0.461
145.5	1	ICS	BlueLeft	1	0.589
150	1	ICNS	BlueLeft	1	0.44
152.5	1	ICNS	BlueLeft	1	0.424
157	1	CS	RedLeft	1	0.49
159.5	1	CNS	RedLeft	1	0.356
164	1	ICS	BlueLeft	1	0.478
168.5	1	ICNS	BlueLeft	1	0.465
173	1	ICNS	BlueRight	1	0.635
176.5	1	CS	RedLeft	1	0.849
180	1	CNS	RedLeft	1	0.559
182.5	1	ICS	BlueLeft	1	0.481
187	1	ICNS	BlueRight	1	0.601
189.5	1	CS	RedRight	1	0.546
195	1	ICS	BlueLeft	1	0.673
197.5	1	ICNS	BlueRight	1	0.595
200	1	CS	RedRight	1	0.509
204.5	1	CNS	RedRight	1	0.581
210	1	ICS	BlueRight	1	0.622
213.5	1	CS	RedLeft	1	0.58
219	1	CNS	RedRight	1	0.403
223.5	1	ICS	BlueLeft	1	0.533
229	1	ICNS	BlueLeft	1	0.75
233.5	1	ICNS	BlueLeft	1	0.431
238	1	CS	RedLeft	1	0.434
242.5	1	CNS	RedRight	1	0.487
245	1	ICS	BlueLeft	1	0.622
250.5	1	ICNS	BlueRight	0	0
256	1	CS	RedRight	1	0.701
258.5	1	CNS	RedLeft	1	0.389
262	1	CNS	RedRight	1	0.405
267.5	1	ICS	BlueRight	1	0.499
272	1	ICNS	BlueRight	1	0.574
275.5	1	CS	RedRight	1	0.644
280	1	CNS	RedLeft	1	0.49
284.5	1	ICS	BlueLeft	1	0.544
287	1	CS	RedRight	1	0.616
292.5	1	CNS	RedRight	1	0.417
298	1	ICS	BlueRight	1	0.52
303.5	1	ICNS	BlueLeft	1	0.608
307	1	ICNS	BlueRight	1	0.478
311.5	1	CS	RedLeft	1	0.713
317	1	CNS	RedRight	1	0.352
320.5	1	ICS	BlueLeft	1	0.51
324	1	CS	RedRight	1	0.556
