onset	duration	trial_type	stimulus	accuracy	response_time
8.5	1	CS	BlueLeft	1	0.444
14	1	CNS	BlueLeft	1	0.412
18.5	1	CNS	BlueRight	1	0.399
23	1	ICS	RedRight	1	0.521
27.5	1	ICNS	RedLeft	1	0.524
33	1	CS	BlueRight	1	0.38
38.5	1	ICS	RedLeft	1	0.46
41	1	ICNS	RedRight	1	0.444
43.5	1	ICNS	RedLeft	1	0.477
48	1	CS	BlueRight	1	0.328
52.5	1	CNS	BlueRight	1	0.363
56	1	ICS	RedRight	1	0.536
58.5	1	ICNS	RedLeft	1	0.401
61	1	ICNS	RedLeft	1	0.376
66.5	1	CS	BlueRight	0	0.544
70	1	ICS	RedLeft	1	0.43
73.5	1	CS	BlueLeft	1	0.635
77	1	CNS	BlueRight	1	0.561
80.5	1	ICS	RedLeft	1	0.495
84	1	ICNS	RedLeft	1	0.413
89.5	1	CS	BlueRight	1	0.348
95	1	ICS	RedRight	1	0.476
98.5	1	ICNS	RedRight	1	0.506
104	1	CS	BlueRight	1	0.57
106.5	1	CNS	BlueLeft	0	0.394
110	1	ICS	RedLeft	1	0.488
112.5	1	ICNS	RedLeft	1	0.657
116	1	CS	BlueLeft	1	0.518
118.5	1	CNS	BlueLeft	1	0.431
123	1	CNS	BlueLeft	1	0.385
128.5	1	ICS	RedRight	1	0.538
134	1	CS	BlueLeft	1	0.384
136.5	1	CNS	BlueRight	1	0.449
141	1	ICS	RedLeft	1	0.475
146.5	1	ICNS	RedRight	1	0.443
151	1	ICNS	RedLeft	1	0.398
155.5	1	CS	BlueLeft	1	0.416
158	1	CNS	BlueLeft	1	0.386
160.5	1	CNS	BlueRight	1	0.45
165	1	ICS	RedRight	1	0.492
168.5	1	ICNS	RedRight	1	0.41
172	1	CS	BlueRight	1	0.424
174.5	1	ICS	RedRight	1	0.744
179	1	CS	BlueLeft	1	0.474
183.5	1	CNS	BlueLeft	1	0.453
188	1	CNS	BlueRight	1	0.344
190.5	1	ICS	RedRight	1	0.473
195	1	ICNS	RedLeft	1	0.427
200.5	1	CS	BlueRight	1	0.371
203	1	CNS	BlueRight	1	0.387
206.5	1	ICS	RedRight	1	0.489
210	1	CS	BlueLeft	1	0.423
214.5	1	CNS	BlueLeft	1	0.53
218	1	CNS	BlueLeft	1	0.328
223.5	1	ICS	RedLeft	1	0.416
227	1	ICNS	RedRight	1	0.43
232.5	1	CS	BlueLeft	0	0.428
237	1	CNS	BlueLeft	1	0.486
240.5	1	ICS	RedLeft	1	0.548
244	1	ICNS	RedRight	1	0.617
249.5	1	CS	BlueRight	1	0.491
253	1	CNS	BlueLeft	1	0.439
257.5	1	ICS	RedLeft	1	0.467
263	1	ICNS	RedRight	1	0.498
265.5	1	CS	BlueRight	1	0.426
270	1	ICS	RedLeft	1	0.541
273.5	1	ICNS	RedRight	1	1.032
279	1	ICNS	RedLeft	1	0.499
283.5	1	CS	BlueRight	1	0.453
289	1	CNS	BlueRight	1	0.493
294.5	1	ICS	RedRight	1	0.443
297	1	ICNS	RedRight	0	0.428
299.5	1	CS	BlueLeft	1	0.445
302	1	CNS	BlueRight	0	0.589
304.5	1	CNS	BlueRight	0	0.502
310	1	ICS	RedRight	0	0.686
313.5	1	ICNS	RedLeft	1	0.555
316	1	ICNS	RedRight	1	0.532
320.5	1	CS	BlueLeft	1	0.551
326	1	ICS	RedLeft	1	0.535
