onset	duration	trial_type	stimulus	accuracy	response_time
8.5	1	ICS	BlueRight	1	0.579
12	1	ICNS	BlueLeft	1	0.569
14.5	1	CS	RedLeft	1	0.545
17	1	ICS	BlueLeft	1	0.563
20.5	1	ICNS	BlueRight	1	0.504
24	1	CS	RedLeft	1	0.397
27.5	1	CNS	RedLeft	1	0.531
31	1	ICS	BlueRight	1	0.417
36.5	1	ICNS	BlueLeft	1	0.689
41	1	CS	RedRight	1	0.47
44.5	1	CNS	RedRight	1	0.392
50	1	ICS	BlueRight	1	0.552
52.5	1	CS	RedLeft	1	0.553
56	1	CNS	RedLeft	1	0.422
58.5	1	CNS	RedRight	1	0.559
62	1	ICS	BlueRight	1	0.453
67.5	1	CS	RedRight	1	0.397
71	1	CNS	RedLeft	1	0.467
75.5	1	ICS	BlueRight	1	0.413
78	1	ICNS	BlueLeft	1	0.598
80.5	1	ICNS	BlueRight	1	0.495
83	1	CS	RedRight	1	0.695
86.5	1	CNS	RedLeft	1	0.524
91	1	ICS	BlueLeft	1	0.518
96.5	1	CS	RedLeft	1	0.462
99	1	CNS	RedLeft	1	0.583
104.5	1	CNS	RedRight	1	0.415
110	1	ICS	BlueRight	1	0.502
114.5	1	ICNS	BlueRight	1	0.481
117	1	ICNS	BlueLeft	1	0.578
119.5	1	CS	RedRight	1	0.57
125	1	CNS	RedLeft	1	0.442
130.5	1	ICS	BlueRight	1	0.473
134	1	ICNS	BlueRight	1	0.455
137.5	1	CS	RedLeft	0	0.445
140	1	CNS	RedRight	1	0.485
145.5	1	ICS	BlueLeft	1	0.637
150	1	ICNS	BlueLeft	1	0.504
152.5	1	ICNS	BlueLeft	1	0.553
157	1	CS	RedLeft	1	0.387
159.5	1	CNS	RedLeft	1	0.428
164	1	ICS	BlueLeft	1	0.574
168.5	1	ICNS	BlueLeft	1	0.505
173	1	ICNS	BlueRight	1	0.483
176.5	1	CS	RedLeft	1	0.673
180	1	CNS	RedLeft	1	0.438
182.5	1	ICS	BlueLeft	1	0.519
187	1	ICNS	BlueRight	1	0.522
189.5	1	CS	RedRight	1	0.458
195	1	ICS	BlueLeft	1	0.49
197.5	1	ICNS	BlueRight	1	0.523
200	1	CS	RedRight	0	0.436
204.5	1	CNS	RedRight	1	0.406
210	1	ICS	BlueRight	1	0.462
213.5	1	CS	RedLeft	1	0.532
219	1	CNS	RedRight	1	0.451
223.5	1	ICS	BlueLeft	1	0.541
229	1	ICNS	BlueLeft	1	0.509
233.5	1	ICNS	BlueLeft	1	0.472
238	1	CS	RedLeft	1	0.563
242.5	1	CNS	RedRight	1	0.453
245	1	ICS	BlueLeft	1	0.502
250.5	1	ICNS	BlueRight	1	0.55
256	1	CS	RedRight	1	0.349
258.5	1	CNS	RedLeft	1	0.501
262	1	CNS	RedRight	1	0.515
267.5	1	ICS	BlueRight	1	0.538
272	1	ICNS	BlueRight	1	0.406
275.5	1	CS	RedRight	1	0.587
280	1	CNS	RedLeft	1	0.43
284.5	1	ICS	BlueLeft	1	0.545
287	1	CS	RedRight	1	0.465
292.5	1	CNS	RedRight	1	0.401
298	1	ICS	BlueRight	1	0.433
303.5	1	ICNS	BlueLeft	1	0.52
307	1	ICNS	BlueRight	1	0.462
311.5	1	CS	RedLeft	1	0.441
317	1	CNS	RedRight	1	0.376
320.5	1	ICS	BlueLeft	1	0.478
324	1	CS	RedRight	1	0.388
