onset	duration	trial_type	stimulus	accuracy	response_time
8.5	1	ICS	BlueRight	1	0.406
12	1	ICNS	BlueLeft	1	0.444
14.5	1	CS	RedLeft	1	0.476
17	1	ICS	BlueLeft	1	0.509
20.5	1	ICNS	BlueRight	1	0.515
24	1	CS	RedLeft	1	0.432
27.5	1	CNS	RedLeft	1	0.422
31	1	ICS	BlueRight	1	0.508
36.5	1	ICNS	BlueLeft	1	0.523
41	1	CS	RedRight	1	0.558
44.5	1	CNS	RedRight	1	0.507
50	1	ICS	BlueRight	1	0.499
52.5	1	CS	RedLeft	1	0.563
56	1	CNS	RedLeft	1	0.425
58.5	1	CNS	RedRight	1	0.497
62	1	ICS	BlueRight	1	0.527
67.5	1	CS	RedRight	1	0.423
71	1	CNS	RedLeft	1	0.397
75.5	1	ICS	BlueRight	1	0.52
78	1	ICNS	BlueLeft	1	0.552
80.5	1	ICNS	BlueRight	1	0.488
83	1	CS	RedRight	1	0.505
86.5	1	CNS	RedLeft	1	0.423
91	1	ICS	BlueLeft	1	0.474
96.5	1	CS	RedLeft	1	0.465
99	1	CNS	RedLeft	1	0.426
104.5	1	CNS	RedRight	1	0.457
110	1	ICS	BlueRight	1	0.801
114.5	1	ICNS	BlueRight	1	0.491
117	1	ICNS	BlueLeft	1	0.468
119.5	1	CS	RedRight	1	0.509
125	1	CNS	RedLeft	1	0.412
130.5	1	ICS	BlueRight	1	0.516
134	1	ICNS	BlueRight	1	0.498
137.5	1	CS	RedLeft	1	0.503
140	1	CNS	RedRight	1	0.608
145.5	1	ICS	BlueLeft	1	0.559
150	1	ICNS	BlueLeft	1	0.522
152.5	1	ICNS	BlueLeft	1	0.435
157	1	CS	RedLeft	1	0.438
159.5	1	CNS	RedLeft	1	0.438
164	1	ICS	BlueLeft	1	0.521
168.5	1	ICNS	BlueLeft	1	0.571
173	1	ICNS	BlueRight	1	0.502
176.5	1	CS	RedLeft	1	0.436
180	1	CNS	RedLeft	1	0.441
182.5	1	ICS	BlueLeft	1	0.554
187	1	ICNS	BlueRight	1	0.492
189.5	1	CS	RedRight	1	0.661
195	1	ICS	BlueLeft	1	0.573
197.5	1	ICNS	BlueRight	1	0.629
200	1	CS	RedRight	1	0.534
204.5	1	CNS	RedRight	1	0.465
210	1	ICS	BlueRight	1	0.472
213.5	1	CS	RedLeft	1	0.566
219	1	CNS	RedRight	1	0.39
223.5	1	ICS	BlueLeft	1	0.504
229	1	ICNS	BlueLeft	1	0.495
233.5	1	ICNS	BlueLeft	1	0.562
238	1	CS	RedLeft	1	0.477
242.5	1	CNS	RedRight	0	0.528
245	1	ICS	BlueLeft	1	0.504
250.5	1	ICNS	BlueRight	1	0.472
256	1	CS	RedRight	1	0.472
258.5	1	CNS	RedLeft	1	0.449
262	1	CNS	RedRight	1	0.526
267.5	1	ICS	BlueRight	1	0.55
272	1	ICNS	BlueRight	1	0.553
275.5	1	CS	RedRight	1	0.806
280	1	CNS	RedLeft	1	0.448
284.5	1	ICS	BlueLeft	1	0.491
287	1	CS	RedRight	1	0.595
292.5	1	CNS	RedRight	1	0.467
298	1	ICS	BlueRight	1	0.483
303.5	1	ICNS	BlueLeft	1	0.475
307	1	ICNS	BlueRight	1	0.584
311.5	1	CS	RedLeft	1	0.523
317	1	CNS	RedRight	1	0.611
320.5	1	ICS	BlueLeft	1	0.592
324	1	CS	RedRight	1	0.526
