onset	duration	trial_type	stimulus	accuracy	response_time
8.5	1	CS	BlueLeft	1	0.785
14	1	CNS	BlueLeft	1	0.577
18.5	1	CNS	BlueRight	1	0.548
23	1	ICS	RedRight	1	0.518
27.5	1	ICNS	RedLeft	1	0.441
33	1	CS	BlueRight	1	0.585
38.5	1	ICS	RedLeft	1	0.84
41	1	ICNS	RedRight	1	0.569
43.5	1	ICNS	RedLeft	1	0.449
48	1	CS	BlueRight	1	0.388
52.5	1	CNS	BlueRight	1	0.431
56	1	ICS	RedRight	0	0
58.5	1	ICNS	RedLeft	1	0.597
61	1	ICNS	RedLeft	1	0.653
66.5	1	CS	BlueRight	1	0.678
70	1	ICS	RedLeft	1	0.595
73.5	1	CS	BlueLeft	0	0.696
77	1	CNS	BlueRight	1	0.662
80.5	1	ICS	RedLeft	1	0.532
84	1	ICNS	RedLeft	1	0.554
89.5	1	CS	BlueRight	1	0.497
95	1	ICS	RedRight	1	0.585
98.5	1	ICNS	RedRight	1	0.59
104	1	CS	BlueRight	1	0.526
106.5	1	CNS	BlueLeft	1	0.478
110	1	ICS	RedLeft	1	0.596
112.5	1	ICNS	RedLeft	1	0.629
116	1	CS	BlueLeft	1	0.45
118.5	1	CNS	BlueLeft	1	0.515
123	1	CNS	BlueLeft	1	0.414
128.5	1	ICS	RedRight	1	0.661
134	1	CS	BlueLeft	1	0.533
136.5	1	CNS	BlueRight	1	0.83
141	1	ICS	RedLeft	1	0.633
146.5	1	ICNS	RedRight	1	0.824
151	1	ICNS	RedLeft	1	0.651
155.5	1	CS	BlueLeft	1	0.782
158	1	CNS	BlueLeft	1	0.647
160.5	1	CNS	BlueRight	1	0.566
165	1	ICS	RedRight	1	0.649
168.5	1	ICNS	RedRight	1	0.47
172	1	CS	BlueRight	1	0.628
174.5	1	ICS	RedRight	1	0.685
179	1	CS	BlueLeft	1	0.551
183.5	1	CNS	BlueLeft	1	0.754
188	1	CNS	BlueRight	1	0.509
190.5	1	ICS	RedRight	1	0.662
195	1	ICNS	RedLeft	1	0.624
200.5	1	CS	BlueRight	1	0.576
203	1	CNS	BlueRight	1	0.537
206.5	1	ICS	RedRight	1	0.59
210	1	CS	BlueLeft	1	0.779
214.5	1	CNS	BlueLeft	1	0.534
218	1	CNS	BlueLeft	1	0.38
223.5	1	ICS	RedLeft	1	0.459
227	1	ICNS	RedRight	1	0.489
232.5	1	CS	BlueLeft	1	0.625
237	1	CNS	BlueLeft	1	0.452
240.5	1	ICS	RedLeft	1	0.489
244	1	ICNS	RedRight	1	0.527
249.5	1	CS	BlueRight	1	0.527
253	1	CNS	BlueLeft	1	0.5
257.5	1	ICS	RedLeft	1	0.511
263	1	ICNS	RedRight	1	0.623
265.5	1	CS	BlueRight	1	0.623
270	1	ICS	RedLeft	1	0.458
273.5	1	ICNS	RedRight	1	0.567
279	1	ICNS	RedLeft	1	0.415
283.5	1	CS	BlueRight	1	0.673
289	1	CNS	BlueRight	0	0.657
294.5	1	ICS	RedRight	1	0.561
297	1	ICNS	RedRight	0	0.578
299.5	1	CS	BlueLeft	1	0.762
302	1	CNS	BlueRight	1	0.707
304.5	1	CNS	BlueRight	1	0.652
310	1	ICS	RedRight	1	0.571
313.5	1	ICNS	RedLeft	1	0.521
316	1	ICNS	RedRight	1	0.489
320.5	1	CS	BlueLeft	1	0.668
326	1	ICS	RedLeft	1	0.492
