onset	duration	trial_type	stimulus	accuracy	response_time
8.5	1	CS	BlueLeft	1	0.384
14	1	CNS	BlueLeft	1	0.39
18.5	1	CNS	BlueRight	1	0.497
23	1	ICS	RedRight	1	0.556
27.5	1	ICNS	RedLeft	1	0.527
33	1	CS	BlueRight	1	0.67
38.5	1	ICS	RedLeft	1	0.51
41	1	ICNS	RedRight	1	0.55
43.5	1	ICNS	RedLeft	1	0.463
48	1	CS	BlueRight	1	0.458
52.5	1	CNS	BlueRight	1	0.525
56	1	ICS	RedRight	1	0.563
58.5	1	ICNS	RedLeft	1	0.483
61	1	ICNS	RedLeft	1	0.46
66.5	1	CS	BlueRight	1	0.578
70	1	ICS	RedLeft	1	0.4
73.5	1	CS	BlueLeft	0	0.558
77	1	CNS	BlueRight	1	0.467
80.5	1	ICS	RedLeft	1	0.569
84	1	ICNS	RedLeft	1	0.647
89.5	1	CS	BlueRight	1	0.647
95	1	ICS	RedRight	1	0.582
98.5	1	ICNS	RedRight	1	0.564
104	1	CS	BlueRight	1	0.812
106.5	1	CNS	BlueLeft	1	0.637
110	1	ICS	RedLeft	1	0.635
112.5	1	ICNS	RedLeft	1	0.571
116	1	CS	BlueLeft	1	0.56
118.5	1	CNS	BlueLeft	1	0.616
123	1	CNS	BlueLeft	1	0.603
128.5	1	ICS	RedRight	1	0.667
134	1	CS	BlueLeft	1	0.579
136.5	1	CNS	BlueRight	1	0.635
141	1	ICS	RedLeft	1	0.934
146.5	1	ICNS	RedRight	1	0.726
151	1	ICNS	RedLeft	1	0.673
155.5	1	CS	BlueLeft	1	0.603
158	1	CNS	BlueLeft	1	0.772
160.5	1	CNS	BlueRight	1	0.581
165	1	ICS	RedRight	1	0.638
168.5	1	ICNS	RedRight	1	0.58
172	1	CS	BlueRight	1	0.626
174.5	1	ICS	RedRight	1	0.658
179	1	CS	BlueLeft	1	0.637
183.5	1	CNS	BlueLeft	1	0.617
188	1	CNS	BlueRight	1	0.61
190.5	1	ICS	RedRight	1	0.595
195	1	ICNS	RedLeft	1	0.518
200.5	1	CS	BlueRight	1	0.59
203	1	CNS	BlueRight	1	0.51
206.5	1	ICS	RedRight	1	0.58
210	1	CS	BlueLeft	1	0.642
214.5	1	CNS	BlueLeft	1	0.54
218	1	CNS	BlueLeft	1	0.449
223.5	1	ICS	RedLeft	1	0.601
227	1	ICNS	RedRight	1	0.535
232.5	1	CS	BlueLeft	1	0.574
237	1	CNS	BlueLeft	1	0.521
240.5	1	ICS	RedLeft	1	0.583
244	1	ICNS	RedRight	1	0.572
249.5	1	CS	BlueRight	1	0.556
253	1	CNS	BlueLeft	1	0.506
257.5	1	ICS	RedLeft	1	0.581
263	1	ICNS	RedRight	1	0.691
265.5	1	CS	BlueRight	1	0.548
270	1	ICS	RedLeft	1	0.591
273.5	1	ICNS	RedRight	1	0.548
279	1	ICNS	RedLeft	1	0.572
283.5	1	CS	BlueRight	1	0.623
289	1	CNS	BlueRight	1	0.495
294.5	1	ICS	RedRight	1	0.566
297	1	ICNS	RedRight	1	0.583
299.5	1	CS	BlueLeft	1	0.632
302	1	CNS	BlueRight	1	0.513
304.5	1	CNS	BlueRight	1	0.481
310	1	ICS	RedRight	1	0.792
313.5	1	ICNS	RedLeft	1	0.517
316	1	ICNS	RedRight	1	0.59
320.5	1	CS	BlueLeft	1	0.697
326	1	ICS	RedLeft	1	0.777
