onset	duration	trial_type	stimulus	accuracy	response_time
8.5	1	ICS	BlueRight	1	0.705
12	1	ICNS	BlueLeft	1	0.663
14.5	1	CS	RedLeft	1	0.416
17	1	ICS	BlueLeft	1	0.576
20.5	1	ICNS	BlueRight	1	0.478
24	1	CS	RedLeft	1	0.524
27.5	1	CNS	RedLeft	1	0.514
31	1	ICS	BlueRight	1	0.424
36.5	1	ICNS	BlueLeft	1	0.583
41	1	CS	RedRight	0	0.61
44.5	1	CNS	RedRight	0	0.568
50	1	ICS	BlueRight	1	0.68
52.5	1	CS	RedLeft	1	0.688
56	1	CNS	RedLeft	1	0.494
58.5	1	CNS	RedRight	1	0.759
62	1	ICS	BlueRight	1	0.556
67.5	1	CS	RedRight	1	0.628
71	1	CNS	RedLeft	1	0.546
75.5	1	ICS	BlueRight	1	0.645
78	1	ICNS	BlueLeft	1	0.598
80.5	1	ICNS	BlueRight	1	0.494
83	1	CS	RedRight	1	0.518
86.5	1	CNS	RedLeft	1	0.556
91	1	ICS	BlueLeft	1	0.719
96.5	1	CS	RedLeft	1	0.64
99	1	CNS	RedLeft	1	0.639
104.5	1	CNS	RedRight	1	0.599
110	1	ICS	BlueRight	1	0.504
114.5	1	ICNS	BlueRight	1	0.602
117	1	ICNS	BlueLeft	1	0.691
119.5	1	CS	RedRight	1	0.692
125	1	CNS	RedLeft	1	0.988
130.5	1	ICS	BlueRight	1	0.571
134	1	ICNS	BlueRight	1	0.632
137.5	1	CS	RedLeft	1	0.654
140	1	CNS	RedRight	1	0.591
145.5	1	ICS	BlueLeft	1	0.903
150	1	ICNS	BlueLeft	1	0.538
152.5	1	ICNS	BlueLeft	1	0.49
157	1	CS	RedLeft	1	0.798
159.5	1	CNS	RedLeft	1	1.355
164	1	ICS	BlueLeft	1	0.601
168.5	1	ICNS	BlueLeft	1	0.579
173	1	ICNS	BlueRight	1	0.622
176.5	1	CS	RedLeft	1	0.596
180	1	CNS	RedLeft	1	0.585
182.5	1	ICS	BlueLeft	1	0.706
187	1	ICNS	BlueRight	0	0
189.5	1	CS	RedRight	1	0.589
195	1	ICS	BlueLeft	1	0.654
197.5	1	ICNS	BlueRight	1	0.718
200	1	CS	RedRight	1	0.935
204.5	1	CNS	RedRight	1	0.626
210	1	ICS	BlueRight	1	1.055
213.5	1	CS	RedLeft	1	0.767
219	1	CNS	RedRight	1	0.703
223.5	1	ICS	BlueLeft	1	0.642
229	1	ICNS	BlueLeft	1	0.546
233.5	1	ICNS	BlueLeft	1	0.452
238	1	CS	RedLeft	1	0.783
242.5	1	CNS	RedRight	1	0.586
245	1	ICS	BlueLeft	1	0.643
250.5	1	ICNS	BlueRight	1	0.643
256	1	CS	RedRight	1	0.546
258.5	1	CNS	RedLeft	1	0.579
262	1	CNS	RedRight	1	0.672
267.5	1	ICS	BlueRight	1	0.673
272	1	ICNS	BlueRight	1	1.04
275.5	1	CS	RedRight	1	0.577
280	1	CNS	RedLeft	1	0.476
284.5	1	ICS	BlueLeft	1	0.607
287	1	CS	RedRight	1	0.639
292.5	1	CNS	RedRight	1	0.56
298	1	ICS	BlueRight	1	0.59
303.5	1	ICNS	BlueLeft	1	0.646
307	1	ICNS	BlueRight	1	0.516
311.5	1	CS	RedLeft	1	0.567
317	1	CNS	RedRight	1	0.623
320.5	1	ICS	BlueLeft	1	0.541
324	1	CS	RedRight	1	0.555
