onset	duration	trial_type	stimulus	accuracy	response_time
8.5	1	ICS	BlueRight	1	0.561
12	1	ICNS	BlueLeft	1	0.799
14.5	1	CS	RedLeft	1	1.053
17	1	ICS	BlueLeft	1	0.577
20.5	1	ICNS	BlueRight	1	0.534
24	1	CS	RedLeft	1	1.088
27.5	1	CNS	RedLeft	1	0.672
31	1	ICS	BlueRight	0	0.542
36.5	1	ICNS	BlueLeft	1	0.606
41	1	CS	RedRight	1	0.841
44.5	1	CNS	RedRight	1	0.67
50	1	ICS	BlueRight	1	0.574
52.5	1	CS	RedLeft	0	0.799
56	1	CNS	RedLeft	1	0.748
58.5	1	CNS	RedRight	1	0.741
62	1	ICS	BlueRight	1	0.539
67.5	1	CS	RedRight	1	0.635
71	1	CNS	RedLeft	1	0.672
75.5	1	ICS	BlueRight	1	0.682
78	1	ICNS	BlueLeft	1	0.539
80.5	1	ICNS	BlueRight	1	0.524
83	1	CS	RedRight	1	1.073
86.5	1	CNS	RedLeft	1	0.434
91	1	ICS	BlueLeft	1	0.532
96.5	1	CS	RedLeft	1	0.989
99	1	CNS	RedLeft	1	0.381
104.5	1	CNS	RedRight	1	0.485
110	1	ICS	BlueRight	1	0.611
114.5	1	ICNS	BlueRight	1	0.526
117	1	ICNS	BlueLeft	1	0.727
119.5	1	CS	RedRight	1	0.44
125	1	CNS	RedLeft	1	0.584
130.5	1	ICS	BlueRight	0	0.799
134	1	ICNS	BlueRight	1	0.501
137.5	1	CS	RedLeft	0	0.899
140	1	CNS	RedRight	1	0.579
145.5	1	ICS	BlueLeft	0	1.28
150	1	ICNS	BlueLeft	1	0.558
152.5	1	ICNS	BlueLeft	1	0.502
157	1	CS	RedLeft	1	0.617
159.5	1	CNS	RedLeft	1	0.433
164	1	ICS	BlueLeft	1	0.795
168.5	1	ICNS	BlueLeft	1	0.934
173	1	ICNS	BlueRight	1	0.737
176.5	1	CS	RedLeft	1	0.839
180	1	CNS	RedLeft	1	0.596
182.5	1	ICS	BlueLeft	1	0.605
187	1	ICNS	BlueRight	0	1.061
189.5	1	CS	RedRight	1	0.76
195	1	ICS	BlueLeft	1	0.72
197.5	1	ICNS	BlueRight	1	0.736
200	1	CS	RedRight	1	0.873
204.5	1	CNS	RedRight	1	1.328
210	1	ICS	BlueRight	1	0.843
213.5	1	CS	RedLeft	1	1.158
219	1	CNS	RedRight	1	0.569
223.5	1	ICS	BlueLeft	1	0.62
229	1	ICNS	BlueLeft	1	1.088
233.5	1	ICNS	BlueLeft	1	0.51
238	1	CS	RedLeft	1	0.705
242.5	1	CNS	RedRight	1	0.587
245	1	ICS	BlueLeft	1	0.667
250.5	1	ICNS	BlueRight	1	0.531
256	1	CS	RedRight	1	0.763
258.5	1	CNS	RedLeft	1	0.459
262	1	CNS	RedRight	1	0.609
267.5	1	ICS	BlueRight	1	0.497
272	1	ICNS	BlueRight	1	0.772
275.5	1	CS	RedRight	1	0.593
280	1	CNS	RedLeft	1	0.572
284.5	1	ICS	BlueLeft	1	0.638
287	1	CS	RedRight	0	0.483
292.5	1	CNS	RedRight	1	0.758
298	1	ICS	BlueRight	1	0.718
303.5	1	ICNS	BlueLeft	1	0.897
307	1	ICNS	BlueRight	1	0.868
311.5	1	CS	RedLeft	1	0.823
317	1	CNS	RedRight	1	0.79
320.5	1	ICS	BlueLeft	1	0.62
324	1	CS	RedRight	1	0.689
