onset	duration	trial_type	stimulus	accuracy	response_time
8.5	1	CS	BlueLeft	1	0.635
14	1	CNS	BlueLeft	1	0.706
18.5	1	CNS	BlueRight	1	0.453
23	1	ICS	RedRight	1	1.101
27.5	1	ICNS	RedLeft	1	0.61
33	1	CS	BlueRight	1	0.426
38.5	1	ICS	RedLeft	1	0.53
41	1	ICNS	RedRight	1	0.523
43.5	1	ICNS	RedLeft	1	0.555
48	1	CS	BlueRight	1	0.534
52.5	1	CNS	BlueRight	1	0.409
56	1	ICS	RedRight	1	0.638
58.5	1	ICNS	RedLeft	1	0.575
61	1	ICNS	RedLeft	1	0.583
66.5	1	CS	BlueRight	1	0.591
70	1	ICS	RedLeft	1	0.725
73.5	1	CS	BlueLeft	1	0.628
77	1	CNS	BlueRight	1	0.815
80.5	1	ICS	RedLeft	1	0.621
84	1	ICNS	RedLeft	1	0.571
89.5	1	CS	BlueRight	1	0.578
95	1	ICS	RedRight	1	0.835
98.5	1	ICNS	RedRight	1	0.56
104	1	CS	BlueRight	1	0.528
106.5	1	CNS	BlueLeft	1	0.817
110	1	ICS	RedLeft	1	0.558
112.5	1	ICNS	RedLeft	1	0.583
116	1	CS	BlueLeft	1	0.596
118.5	1	CNS	BlueLeft	1	0.524
123	1	CNS	BlueLeft	1	0.432
128.5	1	ICS	RedRight	1	0.719
134	1	CS	BlueLeft	1	0.59
136.5	1	CNS	BlueRight	1	0.583
141	1	ICS	RedLeft	1	0.779
146.5	1	ICNS	RedRight	1	0.553
151	1	ICNS	RedLeft	1	0.604
155.5	1	CS	BlueLeft	0	0.663
158	1	CNS	BlueLeft	1	0.536
160.5	1	CNS	BlueRight	1	0.472
165	1	ICS	RedRight	1	0.587
168.5	1	ICNS	RedRight	1	0.552
172	1	CS	BlueRight	1	0.829
174.5	1	ICS	RedRight	1	0.614
179	1	CS	BlueLeft	0	0.633
183.5	1	CNS	BlueLeft	1	0.772
188	1	CNS	BlueRight	1	0.526
190.5	1	ICS	RedRight	1	0.535
195	1	ICNS	RedLeft	1	0.618
200.5	1	CS	BlueRight	1	0.641
203	1	CNS	BlueRight	1	0.65
206.5	1	ICS	RedRight	1	0.552
210	1	CS	BlueLeft	1	0.669
214.5	1	CNS	BlueLeft	1	0.447
218	1	CNS	BlueLeft	1	0.478
223.5	1	ICS	RedLeft	1	0.565
227	1	ICNS	RedRight	1	0.522
232.5	1	CS	BlueLeft	1	1.007
237	1	CNS	BlueLeft	1	0.525
240.5	1	ICS	RedLeft	1	0.548
244	1	ICNS	RedRight	1	0.472
249.5	1	CS	BlueRight	1	0.56
253	1	CNS	BlueLeft	1	0.598
257.5	1	ICS	RedLeft	1	0.512
263	1	ICNS	RedRight	1	0.52
265.5	1	CS	BlueRight	1	0.872
270	1	ICS	RedLeft	0	0.378
273.5	1	ICNS	RedRight	1	0.792
279	1	ICNS	RedLeft	1	0.552
283.5	1	CS	BlueRight	1	0.915
289	1	CNS	BlueRight	1	0.562
294.5	1	ICS	RedRight	1	0.556
297	1	ICNS	RedRight	1	0.675
299.5	1	CS	BlueLeft	1	0.908
302	1	CNS	BlueRight	1	0.868
304.5	1	CNS	BlueRight	1	0.597
310	1	ICS	RedRight	1	0.557
313.5	1	ICNS	RedLeft	1	0.554
316	1	ICNS	RedRight	1	0.53
320.5	1	CS	BlueLeft	1	0.485
326	1	ICS	RedLeft	1	0.605
